classe;control;produto;ano;litros
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1982-01-01;176692
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1983-01-01;147892
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1984-01-01;0
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1985-01-01;0
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1986-01-01;0
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1987-01-01;0
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1988-01-01;248840
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1989-01-01;275708
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1990-01-01;310524
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1991-01-01;268563
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1992-01-01;161507
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1993-01-01;359420
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1994-01-01;183160
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1995-01-01;136526
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1996-01-01;260638
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1997-01-01;221733
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1998-01-01;15370
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1999-01-01;12861
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2000-01-01;2583
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2001-01-01;0
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2002-01-01;5003
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2003-01-01;5203
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2004-01-01;17225
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2005-01-01;111666
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2006-01-01;258248
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2007-01-01;250114
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2008-01-01;441691
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2009-01-01;1003596
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2010-01-01;1851136
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2011-01-01;1706679
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2012-01-01;1605767
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2013-01-01;1764851
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2014-01-01;1893469
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2015-01-01;1836167
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2016-01-01;1727386
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;2017-01-01;1586985
