classe;pais;ano;kg;valor
Espumantes;Chile;1998-01-01;7877;20030
Espumantes;Chile;1999-01-01;18020;65480
Espumantes;Chile;2000-01-01;11250;31550
Espumantes;Chile;2001-01-01;15695;44425
Espumantes;Chile;2002-01-01;6300;20323
Espumantes;Chile;2003-01-01;16200;39459
Espumantes;Chile;2004-01-01;25920;48350
Espumantes;Chile;2005-01-01;38290;92150
Espumantes;Chile;2006-01-01;29806;93696
Espumantes;Chile;2007-01-01;49400;159012
Espumantes;Chile;2008-01-01;84673;234038
Espumantes;Chile;2009-01-01;39533;165731
Espumantes;Chile;2010-01-01;68562;243004
Espumantes;Chile;2011-01-01;66639;248691
Espumantes;Chile;2012-01-01;137790;484791
Espumantes;Chile;2013-01-01;123026;478646
Espumantes;Chile;2014-01-01;133935;599993
Espumantes;Chile;2015-01-01;236342;838250
Espumantes;Chile;2016-01-01;117678;523242
Espumantes;Chile;2017-01-01;304391;1350744
Espumantes;Chile;2018-01-01;316293;1312445
Espumantes;Chile;2019-01-01;233064;912613
Espumantes;Croacia;1971-01-01;0;0
Espumantes;Croacia;1972-01-01;0;0
Espumantes;Croacia;1973-01-01;0;0
Espumantes;Croacia;1974-01-01;0;0
Espumantes;Croacia;1975-01-01;0;0
Espumantes;Croacia;1976-01-01;0;0
Espumantes;Croacia;1977-01-01;0;0
Espumantes;Croacia;1978-01-01;0;0
Espumantes;Croacia;1979-01-01;0;0
Espumantes;Croacia;1980-01-01;0;0
Espumantes;Croacia;1981-01-01;0;0
Espumantes;Croacia;1982-01-01;0;0
Espumantes;Croacia;1983-01-01;0;0
Espumantes;Croacia;1984-01-01;0;0
Espumantes;Croacia;1985-01-01;0;0
Espumantes;Croacia;1986-01-01;0;0
Espumantes;Croacia;1987-01-01;0;0
Espumantes;Croacia;1988-01-01;0;0
Espumantes;Croacia;1989-01-01;0;0
